yearID,retroID,type,Column7,to-league,teamIDretro,to-league8,draft-type,draft-round,pick-number10
1905,volzj101,Dr,BSN,NL,Manchester,(New England),,,
1963,walld102,Dr,SLN,NL,BAL,AL,,,
1990,wapns001,Dr,DET,AL,TOR,AL,,,
1934,washg102,Dr,CHA,AL,Indianapolis,(American Association),,,
1985,weavj001,Dr,DET,AL,MIN,AL,,,
1981,wehrd001,Dr,KCA,AL,NYA,AL,,,
2008,wellr001,Dr,TOR,AL,CHN,NL,,,
1988,wettj001,Dr,DET,AL,LAN,NL,,,
2003,whitm003,Dr,SEA,AL,CLE,AL,,,
2004,whitm003,Dr,COL,NL,CLE,AL,,,
1991,wilkd001,Dr,HOU,NL,CHN,NL,,,
1986,willc001,Dr,CAL,AL,CIN,NL,,,
1964,willg101,Dr,KC1,AL,SLN,NL,,,
1985,willm002,Dr,TEX,AL,SDN,NL,,,
2000,willm006,Dr,MIL,NL,NYA,AL,,,
1949,wilsj104,Dr,PHA,AL,CLE,AL,,,
1908,withr101,Dr,WS1,AL,Des Moines,(Western),,,
1995,wortc001,Dr,PHI,NL,CIN,NL,,,
1967,wynnb102,Dr,CLE,AL,NYN,NL,,,
1987,younc002,Dr,OAK,AL,TOR,AL,,,
2013,kobej001,Dr,DET,AL,WAS,NL,,,
2013,mcguc001,Dr,CLE,AL,TEX,AL,,,
2011,cabrc001,Dr,TBA,AL,BOS,AL,,,
2014,matem001,Dr,ARI,NL,CHN,NL,,,
2014,rosis001,Dr,TEX,AL,PHI,NL,,,
2013,incie001,Dr,PHI,NL,ARI,NL,,,
1930,harrs102,Dr,PHA,AL,Minneapolis,(American Association),,,
1927,roeto101,Dr,BRO,NL,St Paul,(American Association),,,
2015,verrl001,Dr,TEX,AL,NYN,NL,,,
2014,schup001,Dr,KCA,AL,ARI,NL,,,
2016,stumd001,Dr,PHI,NL,KCA,AL,,,
2015,gustj001,Dr,SDN,NL,HOU,AL,,,
2016,smitb006,Dr,SDN,NL,CHA,AL,,,
2016,walsc001,Dr,MIL,NL,OAK,AL,,,
2017,hausm001,Dr,TEX,AL,HOU,AL,,,
2017,milnh001,Dr,CLE,AL,PHI,NL,,,
2017,webbt001,Dr,PIT,NL,NYA,AL,,,
2016,ograc001,Dr,CIN,NL,ANA,AL,,,
2017,sparg001,Dr,TOR,AL,KCA,AL,,,
2017,smitc006,Dr,CHN,NL,NYA,AL,,,
2017,halej001,Dr,MIN,AL,BOS,AL,,,
2018,gosea001,Dr,HOU,AL,TEX,AL,,,
2018,bardl001,Dr,ANA,AL,MIN,AL,,,
2018,kinlt001,Dr,MIN,AL,MIA,NL,,,
2016,cavej001,Dr,CIN,NL,NYA,AL,,,
1925,taylc103,Dr,CHN,NL,Beaumont,(Texas),,,
1952,garba101,Dr,DET,AL,Seattle,(PCL),,,
2019,ellic001,Dr,KCA,AL,SLN,NL,,,
2019,jackd004,Dr,BAL,AL,LAN,NL,,,
2019,joe-c001,Dr,SFN,NL,LAN,NL,,,
2018,fordm002,Dr,SEA,AL,NYA,AL,,,
2018,cortn001,Dr,BAL,AL,NYA,AL,,,
2019,garrr001,Dr,DET,AL,TEX,AL,,,
2019,romaj004,Dr,TEX,AL,TOR,AL,,,
2019,dowdk001,Dr,TEX,AL,CLE,AL,,,
2019,bergt001,Dr,SFN,NL,TOR,AL,,,
2014,morab001,Dr,ANA,AL,SEA,AL,,,
1931,weinl101,Dr,NYA,AL,Louisville,(American Association),,,
1997,hammr001,Dn,,,TBA,AL,,89,
1996,phelt001,Da,,,TBA,AL,,89,
1996,seabs001,Da,,,NYA,AL,,88,
1989,wilsd002,Dn,,,HOU,NL,,87,
1990,yound002,Da,,,HOU,NL,,83,
1990,drist001,Dn,,,HOU,NL,,76,
1969,cowea001,Da,,,KCA,AL,,75,
1993,maxwj001,Da,,,CHN,NL,,74,
1989,karpr001,Dn,,,HOU,NL,,73,
1996,brune001,Dn,,,LAN,NL,,72,
1994,estrj001,Dn,,,HOU,NL,,71,
1969,scott001,Da,,,MON,NL,,71,
1987,marst001,Dn,,,TOR,AL,,70,
1994,santj002,Da,,,KCA,AL,,70,
1993,barnl001,Dn,,,FLO,NL,,69,
1997,bellh001,Dn,,,TBA,AL,,69,
1965,thoro101,Da,,,HOU,NL,,68,
1967,hambr101,Da,,,NYA,AL,,67,
1995,hammr001,Dn,,,FLO,NL,,66,
1987,plane001,Dn,,,KCA,AL,,66,
1994,villb001,Da,,,NYN,NL,,66,
1987,barbb001,Dn,,,KCA,AL,,65,
1967,lundt101,Dn,,,LAN,NL,,65,
1989,oterr001,Dn,,,TOR,AL,,65,
1994,hoovp001,Dn,,,HOU,NL,,64,
1991,witaj001,Dn,,,HOU,NL,,63,
1967,ellib104,Da,,,LAN,NL,,63,
1991,gipsc001,Da,,,SEA,AL,,63,
1997,holms002,Dn,,,LAN,NL,,62,
1988,piazm001,Da,,,LAN,NL,,62,
1996,duckb001,Dn,,,ARI,NL,,61,
1994,ensbm001,Dn,,,SEA,AL,,61,
1991,klins001,Dn,,,LAN,NL,,60,
1994,pellk001,Dn,,,KCA,AL,,60,
1967,roges001,Dn,,,NYA,AL,,60,
1988,wengd001,Dn,,,CIN,NL,,60,
1993,koong001,Da,,,DET,AL,,60,
1995,philp001,Dn,,,KCA,AL,,59,
1987,smalm001,Dn,,,KCA,AL,,59,
1996,zitob001,Dn,,,SEA,AL,,59,
1995,wellk001,Dn,,,MIL,AL,,58,
1988,whitd002,Dn,,,TOR,AL,,58,
1987,conij001,Da,,,KCA,AL,,58,
1988,pattj002,Da,,,PHI,NL,,58,
1988,penns001,Da,,,TEX,AL,,58,
1994,ericm001,Dn,,,ATL,NL,,57,
1996,keisr001,Dn,,,CLE,AL,,57,
1989,klins001,Dn,,,DET,AL,,57,
1995,kaplg001,Da,,,DET,AL,,57,
1965,nye-r101,Dn,,,HOU,NL,,56,
1989,shavj002,Dn,,,TOR,AL,,56,
1988,woodj001,Dn,,,TOR,AL,,56,
1996,riskd001,Da,,,CLE,AL,,56,
1970,bacsm101,Dn,,,BAL,AL,,55,
1997,heila001,Dn,,,NYA,AL,,55,
1995,muldm001,Dn,,,DET,AL,,55,
1966,randb101,Dn,,,LAN,NL,,55,
1989,garcm002,Da,,,DET,AL,,55,
1965,sipij101,Da,,,SLN,NL,,55,
1995,speij001,Da,,,CHN,NL,,55,
1996,jennj001,Dn,,,ARI,NL,,54,
1993,wisem001,Dn,,,SEA,AL,,54,
1990,wunsk001,Dn,,,ATL,NL,,54,
1993,mannj001,Da,,,TOR,AL,,54,
1995,polic001,Da,,,SLN,NL,,54,
1966,torrr101,Da,,,NYA,AL,,54,
1990,willt001,Da,,,LAN,NL,,54,
1994,woodc001,Da,,,TOR,AL,,54,
1988,cooks001,Dn,,,PHI,NL,,53,
1996,dobbg001,Dn,,,SEA,AL,,53,
1990,evanb001,Dn,,,SLN,NL,,53,
1996,gilem001,Da,,,ATL,NL,,53,
1991,grunk001,Da,,,SFN,NL,,53,
1996,mackr001,Da,,,PIT,NL,,53,
1987,millp001,Da,,,PIT,NL,,53,
1990,adamw001,Dn,,,DET,AL,,52,
1987,hursj002,Dn,,,SEA,AL,,52,
1997,qualc001,Dn,,,TOR,AL,,52,
1968,shelb101,Dn,,,LAN,NL,,52,
1997,tonim001,Dn,,,KCA,AL,,52,
1989,hockd001,Da,,,MIN,AL,,52,
1994,barnl001,Dn,,,ATL,NL,,51,
1994,knigb001,Dn,,,COL,NL,,51,
1993,lincm001,Dn,,,MON,NL,,51,
1988,vinaf001,Dn,,,NYA,AL,,51,
1984,wakad001,Dn,,,NYA,AL,,51,
1991,walkt002,Dn,,,TEX,AL,,51,
1990,crawc001,Da,,,CLE,AL,,51,
1989,turab001,Da,,,SEA,AL,,51,
1999,buscb001,Dn,,,BOS,AL,,50,
2000,buscb001,Dn,,,ARI,NL,,50,
2003,curtc002,Dn,,,CIN,NL,,50,
2004,davic003,Dn,,,NYA,AL,,50,
2009,edgij001,Dn,,,ATL,NL,,50,
1999,gallj001,Dn,,,CLE,AL,,50,
1990,hellr001,Dn,,,NYN,NL,,50,
2001,jackz001,Dn,,,CHA,AL,,50,
2003,mansj001,Dn,,,ARI,NL,,50,
2000,murpd005,Dn,,,ANA,AL,,50,
1997,murpt001,Dn,,,ARI,NL,,50,
2005,poseb001,Dn,,,ANA,AL,,50,
2008,nolis001,Dn,,,MIL,NL,,50,
2009,chapk002,Dn,,,CHA,AL,,50,
2003,johnk004,Dn,,,ANA,AL,,50,
2005,scrux001,Dn,,,SEA,AL,,50,
2009,godlz001,Dn,,,NYN,NL,,50,
2006,tartt001,Dn,,,TBA,AL,,50,
2008,andet002,Dn,,,MIN,AL,,50,
2011,ellic001,Dn,,,LAN,NL,,50,
1992,benam001,Da,,,SFN,NL,,50,
1994,bowlb001,Da,,,TOR,AL,,50,
1992,chava001,Da,,,CAL,AL,,50,
2006,dysoj001,Da,,,KCA,AL,,50,
1995,guzme001,Da,,,SFN,NL,,50,
2007,navae001,Da,,,ANA,AL,,50,
1967,robst101,Da,,,NYN,NL,,50,
2008,turln001,Da,,,NYA,AL,,50,
1990,benea002,Dn,,,SDN,NL,,49,
1991,bours001,Dn,,,CLE,AL,,49,
2007,carpd002,Dn,,,SEA,AL,,49,
2001,cokep001,Dn,,,FLO,NL,,49,
2005,colec001,Dn,,,TBA,AL,,49,
2003,fistd001,Dn,,,SFN,NL,,49,
2006,goldp001,Dn,,,LAN,NL,,49,
2003,hollm002,Dn,,,MIN,AL,,49,
2003,jansc001,Dn,,,BAL,AL,,49,
1988,joned002,Dn,,,TOR,AL,,49,
1987,laket001,Dn,,,KCA,AL,,49,
1994,miadb001,Dn,,,COL,NL,,49,
1994,michj001,Dn,,,SDN,NL,,49,
1992,newhd001,Dn,,,DET,AL,,49,
1993,polap001,Dn,,,CHA,AL,,49,
1973,smitb001,Dn,,,SLN,NL,,49,
2005,vasqa001,Dn,,,ANA,AL,,49,
2009,smitb005,Dn,,,CLE,AL,,49,
2005,partc001,Dn,,,SFN,NL,,49,
2006,monej001,Dn,,,NYN,NL,,49,
2009,walkc002,Dn,,,LAN,NL,,49,
2006,galer002,Dn,,,KCA,AL,,49,
2008,davit004,Dn,,,FLO,NL,,49,
1998,atchs001,Da,,,SEA,AL,,49,
2002,hernf003,Da,,,CHA,AL,,49,
2002,peteb002,Da,,,MIN,AL,,49,
2007,elmoj001,Dn,,,FLO,NL,,48,
2005,hefnj001,Dn,,,NYN,NL,,48,
2003,linct001,Dn,,,CHN,NL,,48,
1996,pierj002,Dn,,,SEA,AL,,48,
2008,scahr001,Dn,,,NYA,AL,,48,
2009,nolis001,Dn,,,SEA,AL,,48,
2000,clarc001,Dn,,,TOR,AL,,48,
2008,sprig001,Dn,,,MIN,AL,,48,
2008,dicka001,Dn,,,WAS,NL,,48,
2009,mantj002,Dn,,,NYN,NL,,48,
2011,webbt001,Dn,,,CIN,NL,,48,
2010,hannj002,Dn,,,KCA,AL,,48,
2011,howas002,Dn,,,CHN,NL,,48,
2011,beatm001,Dn,,,KCA,AL,,48,
2008,nolaa002,Dn,,,COL,NL,,48,
1987,ausmb001,Da,,,NYA,AL,,48,
1992,browa001,Da,,,PIT,NL,,48,
2003,ryand001,Da,,,DET,AL,,48,
1995,shiej001,Da,,,ATL,NL,,48,
1993,valdm002,Da,,,CHA,AL,,48,
2002,wilsb002,Da,,,ANA,AL,,48,
2009,nunov001,Da,,,CLE,AL,,48,
2011,edwac001,Da,,,TEX,AL,,48,
2011,smitj005,Da,,,SFN,NL,,48,
1966,angen101,Dn,,,BAL,AL,,47,
2003,crotm001,Dn,,,PHI,NL,,47,
1991,hughb001,Dn,,,DET,AL,,47,
2003,mccud001,Dn,,,NYA,AL,,47,
1987,osikk001,Dn,,,TEX,AL,,47,
1993,robed001,Dn,,,CLE,AL,,47,
2007,schal001,Dn,,,COL,NL,,47,
1999,thayd001,Dn,,,CHN,NL,,47,
2001,wolfr002,Dn,,,MON,NL,,47,
2007,oberb001,Dn,,,SEA,AL,,47,
2004,davie002,Dn,,,ANA,AL,,47,
2006,millj006,Dn,,,COL,NL,,47,
2007,hestc001,Dn,,,MIN,AL,,47,
2001,evant002,Da,,,SLN,NL,,47,
1994,farnk001,Da,,,CHN,NL,,47,
1984,gillt001,Da,,,NYA,AL,,47,
2001,munts001,Da,,,SFN,NL,,47,
1995,nievw001,Da,,,SDN,NL,,47,
1969,ortef101,Da,,,KCA,AL,,47,
1989,pattd001,Da,,,TEX,AL,,47,
1965,razib101,Da,,,NYN,NL,,47,
1966,skidr101,Da,,,ATL,NL,,47,
1992,wilkm001,Da,,,PIT,NL,,47,
1998,andrs002,Dn,,,LAN,NL,,46,
2001,barks001,Dn,,,TOR,AL,,46,
1965,behnm101,Dn,,,HOU,NL,,46,
2001,bradd002,Dn,,,ATL,NL,,46,
2008,branr002,Dn,,,WAS,NL,,46,
1987,darwj001,Dn,,,SEA,AL,,46,
2005,davib005,Dn,,,CLE,AL,,46,
1997,hawpb001,Dn,,,TOR,AL,,46,
2004,hefnj001,Dn,,,NYN,NL,,46,
1994,larsb001,Dn,,,PIT,NL,,46,
1989,lopea002,Dn,,,SFN,NL,,46,
2003,mickk001,Dn,,,SLN,NL,,46,
2002,ryand001,Dn,,,PHI,NL,,46,
2000,schrc001,Dn,,,CIN,NL,,46,
1994,spurj001,Dn,,,HOU,NL,,46,
2007,hellj002,Dn,,,FLO,NL,,46,
2009,farmb001,Dn,,,ATL,NL,,46,
2008,grahj002,Dn,,,OAK,AL,,46,
2010,rolld002,Dn,,,SEA,AL,,46,
2008,mcgos001,Dn,,,PIT,NL,,46,
2010,eickj001,Dn,,,CHN,NL,,46,
2008,zycht001,Dn,,,CHN,NL,,46,
2008,sotog002,Dn,,,PHI,NL,,46,
2011,willm008,Dn,,,BOS,AL,,46,
2010,halej001,Dn,,,CLE,AL,,46,
2011,meanj001,Dn,,,ATL,NL,,46,
2008,ramsm003,Dn,,,CLE,AL,,46,
1999,bottj001,Da,,,TEX,AL,,46,
1992,may-d002,Da,,,ATL,NL,,46,
2010,achta001,Da,,,MIN,AL,,46,
2002,bannb001,Dn,,,BOS,AL,,45,
1990,batta001,Dn,,,CHA,AL,,45,
1995,blakc001,Dn,,,NYA,AL,,45,
1991,cruzj003,Dn,,,CAL,AL,,45,
1967,ewins101,Dn,,,NYA,AL,,45,
1992,fickr001,Dn,,,OAK,AL,,45,
1991,heflb001,Dn,,,NYA,AL,,45,
1993,howrb001,Dn,,,FLO,NL,,45,
2000,karsj001,Dn,,,MON,NL,,45,
1987,lewid001,Dn,,,TOR,AL,,45,
1999,neshp001,Dn,,,MIN,AL,,45,
2005,pillb001,Dn,,,NYA,AL,,45,
1984,plymj001,Dn,,,CLE,AL,,45,
1987,simod001,Dn,,,LAN,NL,,45,
1998,sledt001,Dn,,,CIN,NL,,45,
1997,thurj001,Dn,,,BOS,AL,,45,
2006,tobim001,Dn,,,ATL,NL,,45,
1978,wardc001,Dn,,,SLN,NL,,45,
1997,youms001,Dn,,,LAN,NL,,45,
2011,finnb001,Dn,,,TEX,AL,,45,
2007,vendp001,Dn,,,NYA,AL,,45,
2009,piscs001,Dn,,,LAN,NL,,45,
2008,kitta001,Dn,,,SEA,AL,,45,
2010,sadzc001,Dn,,,PIT,NL,,45,
1990,baptt001,Da,,,TOR,AL,,45,
1989,curtc001,Da,,,CAL,AL,,45,
2006,herrd001,Da,,,TEX,AL,,45,
1993,menef001,Da,,,CHA,AL,,45,
1990,oterr001,Da,,,NYN,NL,,45,
2004,sippt001,Da,,,CLE,AL,,45,
1987,sutkg001,Da,,,CIN,NL,,45,
1998,voylb001,Da,,,ATL,NL,,45,
1998,ameza001,Dn,,,COL,NL,,44,
1994,clarj003,Dn,,,LAN,NL,,44,
2005,darnc001,Dn,,,LAN,NL,,44,
1988,erics001,Dn,,,TOR,AL,,44,
2000,hoffm001,Dn,,,TBA,AL,,44,
1996,larsb001,Dn,,,SFN,NL,,44,
1998,mcphd001,Dn,,,ATL,NL,,44,
1996,michj001,Dn,,,TBA,AL,,44,
2001,mockg001,Dn,,,CLE,AL,,44,
2002,taubt001,Dn,,,OAK,AL,,44,
1988,timmo001,Dn,,,CHA,AL,,44,
2001,wellr001,Dn,,,NYN,NL,,44,
2006,barra001,Dn,,,LAN,NL,,44,
2008,cronc002,Dn,,,CHA,AL,,44,
2009,gilek001,Dn,,,FLO,NL,,44,
2010,stasb001,Dn,,,CLE,AL,,44,
2011,slata001,Dn,,,LAN,NL,,44,
2009,milnh001,Dn,,,WAS,NL,,44,
2011,vasqa002,Dn,,,KCA,AL,,44,
1965,campj101,Da,,,NYN,NL,,44,
1996,corct002,Da,,,NYN,NL,,44,
2000,ferra001,Da,,,MON,NL,,44,
1989,figgm001,Da,,,NYA,AL,,44,
1965,gebhb101,Da,,,MIN,AL,,44,
1989,ingrg001,Da,,,LAN,NL,,44,
1991,isrij001,Da,,,NYN,NL,,44,
1991,jackd003,Da,,,CLE,AL,,44,
1991,joneb004,Da,,,MIL,AL,,44,
1993,nelsb001,Da,,,HOU,NL,,44,
1994,perrc001,Da,,,CLE,AL,,44,
1993,wilsv001,Da,,,NYN,NL,,44,
2002,woodt003,Da,,,FLO,NL,,44,
2009,thomt001,Da,,,CHA,AL,,44,
2011,bostc001,Da,,,OAK,AL,,44,
2005,barns002,Dn,,,WAS,NL,,43,
2004,beckc001,Dn,,,TOR,AL,,43,
1992,beirk001,Dn,,,CIN,NL,,43,
1991,boona001,Dn,,,CAL,AL,,43,
1995,burrp001,Dn,,,BOS,AL,,43,
2005,castj006,Dn,,,BOS,AL,,43,
1998,cervm001,Dn,,,OAK,AL,,43,
1997,dejed001,Dn,,,NYN,NL,,43,
2002,delas001,Dn,,,ANA,AL,,43,
2000,duffc001,Dn,,,BOS,AL,,43,
1995,fickr001,Dn,,,DET,AL,,43,
1989,giamj001,Dn,,,MIL,AL,,43,
1988,ingrg001,Dn,,,LAN,NL,,43,
1988,loonb001,Dn,,,SDN,NL,,43,
1989,lowes001,Dn,,,CIN,NL,,43,
1990,lowes001,Dn,,,OAK,AL,,43,
2008,maron001,Dn,,,OAK,AL,,43,
2001,maxwj002,Dn,,,BAL,AL,,43,
1991,nye-r001,Dn,,,SEA,AL,,43,
1988,palmo001,Dn,,,NYA,AL,,43,
